Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-215336,RCP-024534,"Town Of Blooming Grove, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Senior Center Building,6-Revenue Replacement,6.1-Provision of Government Services,"Construction on the new Senior Center Building began March 10, 2020 but was halted by the COVID-19 pandemic.  These funds are allocated to be used for supplying and connecting electric to the building.  There has been a delay in obtaining the components of the electrical system and, at present, delivery of the equipment is projected to be in late October 2024.  The electrical phase of the project is projected to be completed on or before February 27, 2026.","$325,592","$325,592"
TPN-136392,RCP-023711,"Town Of Wellsville, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,New Municipal Building,6-Revenue Replacement,6.1-Provision of Government Services,New Municipal Building Construction,"$130,459","$130,459"
TPN-210261,RCP-025000,"Town Of Argyle, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,"This final project amount was used toward purchase of a new Town Hall facility which will house the Town Clerk, Supervisor, Assessor, meeting space and records storage, Town Court, and Highway Garage.  This facility will be public accessibility compliant, Court safety compliant, and include additional space for Town Highway needs.","$160,576","$160,576"
TPN-183740,RCP-037235,"Ithaca, New York",New York,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,GIAC Recreation Center,6-Revenue Replacement,6.1-Provision of Government Services,New Recreation Center for GIAC,"$300,000","$300,000"
TPN-124989,RCP-024808,"Town Of Dix, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,"Build a new town hall for the Town. The project was 1.25 million and these funds helped us get this done as we were impacted by less income due to the pandemic. We were able to build this new town hall that was planned to be built in 2021 but with the pandemic we could not do this as we had to try to off set taxes charged to our community. This money allowed us to do just that, reduce taxes for 2022.","$218,817","$218,817"
TPN-145378,RCP-024891,"Town Of Southampton, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Westhampton Community Center,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of new town  building in order to provide needed services to the elderly population in the community.  The Town of Southampton's mission is to serve all seniors and youth in the Township and this center will make fulfilling that mission more reachable.  This new community center will  provide after school programs for youth as well as serve the senior population with socialization, nutrition and service oriented programs.","$750,000","$750,000"
TPN-200780,RCP-023894,"Town Of Altona, NY",New York,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Building New Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,"The Town of Altona is utilizing all of the ARPA funds to build a new town hall.  The current town hall deteriorated to the point of no longer being safe.  The existing building was not able to accept upgrades for ingress and egresss, water, sewer, internet or any other more necessary modern accommodations.   The new town hall will be able to meet current code requirements and will also have the capacity to serve as a shelter, if needed.","$300,102","$197,094"
TPN-098065,RCP-036850,"Binghamton, New York",New York,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,The City is utilizing up to 2 million of loss revenue dollars to reduce the long term cost of a new fire station being built.,"$2,000,000","$2,000,000"
TPN-112643,RCP-036020,"Mecklenburg County, North Carolina",North Carolina,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Miracle of Cedar Street Campaign,6-Revenue Replacement,6.1-Provision of Government Services,Build a new facility to provide 166 new beds for homeless men seeking treatment,"$3,000,000","$3,000,000"
TPN-239170,RCP-037626,"Robeson County, North Carolina",North Carolina,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Career and Technical Center,6-Revenue Replacement,6.1-Provision of Government Services,The Public Schools of Robeson County (PSRC) is constructing a new school that will focus on educating students in the trades.  This will be a small step to help reduce the nationwide shortage of skilled workers.  This portion represents the money Robeson County is required to contribute to the project.,"$2,500,000","$2,500,000"
