Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-139912,RCP-038605,"Ward County, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Ward County Jail and Sheriff's Office,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of new jail and sheriff's office, including medical area and special cells for inmates who have contagious diseases so the air is vented out of the facility.  We awarded the bid on February 12, 2024. The Project to began April 20, 2024 and is scheduled to end August 28, 2025. Total project expected to be $41,652,022.58 with the majority paid from local funds.","$2,330,471","$2,330,471"
TPN-281175,RCP-056309,"Aurora, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Aurora City Hall,6-Revenue Replacement,6.1-Provision of Government Services,Funds used towards the cost of the construction of a new city hall which would have typically been paid for out of revenue generated during a normal budget year.,"$375,393","$375,393"
TPN-149712,RCP-056140,"Mount Pleasant, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Library Storage Bdg,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Site prep and construction of new library storage building next to the library .,"$177,940","$177,940"
TPN-195614,RCP-057003,"Weir, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Weir Community Center,6-Revenue Replacement,6.1-Provision of Government Services,"this project has used $131,586.09 to build a new community center which will be used for citizens to shelter in the event of an emergency and/or pandemic.  The community center is completed.","$131,586","$131,586"
TPN-048599,RCP-056777,"Dimmitt, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Police Station,6-Revenue Replacement,6.1-Provision of Government Services,"The City of Dimmitt seeks to purchase a new Police Station. The City has outgrown their current facility with no room to expand. The Police Department has seven full-time officers, one part-time officer, one records clerk/dispatcher, and one animal control officer. These 10 employees have shared a space with only four offices for many years. This space contributed to social distancing challenges during the COVID-19 pandemic. The new building will allow each employee to have their own office with room for growth.","$125,230","$125,230"
TPN-091239,RCP-056027,"Escobares, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Revenue Replacement,6-Revenue Replacement,6.1-Provision of Government Services,Revenue Replacement to provide general municipal government services. Construction of New City Hall and Car Port for Fire Trucks.,"$543,276","$543,276"
TPN-109430,RCP-035852,"El Paso County, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,OFFICE OF MEDICAL EXAMINER- MNK,3-Public Health-Negative Economic Impact: Public Sector Capacity,3.4-Public Sector Capacity: Effective Service Delivery,The Office of the Medical Examiner (OME) is seeking to construct a new facility as existing operational demands can no longer be housed in the existing facility.,"$177,217","$15,000"
TPN-065331,RCP-039179,"Wilson County, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Wilson County Emergency Management Operations Center,1-Public Health,1.14-Other Public Health Services,"Wilson County will hire a consultant to construct a new emergency operations center to facilitate an integrated response to all emergencies--local and national. This facility will include appropriate and current technology, office space, emergency planning / mobilization and staging space, and all items necessary to provide this county and surrounding areas with the utmost responsive and integrated approach to managing an emergency.","$1,302,877","$222,515"
TPN-239771,RCP-056259,"Talty, TX",Texas,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Talty City Facililty,6-Revenue Replacement,6.1-Provision of Government Services,"The City of Talty constructed a facility providing for police and emergency services as well as accompanying administrative support to citizens and regional law enforcement, first responders, utility crews and related service providers. Will also headquarter all city administrative services and be available for community events. The project also included the first section of a roadway projected to eventually connect to frontage roads along I-20. This roadway is sanctioned by the Texas Department of Transportation and incorporated into the design and construction plans. This connection will provide a improved traffic flow,  a common sense option for a major segment of the population and greatly improve response time for area emergency services; including a new fire station projected to be constructed soon by our local emergency services district.","$685,241","$685,241"
TPN-176178,RCP-036731,"Provo, Utah",Utah,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station 1 rebuild,6-Revenue Replacement,6.1-Provision of Government Services,Architectural design and construction for replacement of fire station 1. New fire station 1 will be built to have a fire engine housed there along with the crew to operate it. This will better serve the small businesses and citizen within Provo City.,"$1,850,000","$1,850,000"
TPN-154873,RCP-052753,"Rutland Town, VT",Vermont,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Public Safety Building,6-Revenue Replacement,6.1-Provision of Government Services,New Public Safety Building,"$1,221,072","$1,221,072"
TPN-243976,RCP-040323,"Fairfax, Virginia",Virginia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station No.3,10-Title I,10.1-Acquisition of real property,Acquisition of Property for a new Fire Station,"$5,449,682","$5,449,682"
TPN-287552,RCP-037362,"Nottoway County, VA",Virginia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Animal Shelter Architect,10-Title I,"10.16-Assistance to private, for profit entities to carry out economic development projects",Used funds to pay for the new Animal Shelter Architect contract. The Architect is in charge of producing the design and schematics for the new County Animal Shelter.,"$75,000","$75,000"
TPN-143827,RCP-035354,"Town Of South Hill, VA",Virginia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Public Works Building,6-Revenue Replacement,6.1-Provision of Government Services,The Public Works Building Project is to construct a new Public Works Building. This project will fund a portion of the cost to construct a new facility which will provide an updated facility to provide for the needs of the town's Public Works Department.,"$1,000,000","$1,000,000"
TPN-143341,RCP-035317,"Town Of Nassawadox, VA",Virginia,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Library Foundation Donation,6-Revenue Replacement,6.1-Provision of Government Services,"Eastern Shore Public Library is constructing new library in Parksley, VA and this represents our town support of this","$2,500","$2,500"
TPN-197239,RCP-038409,"Franklin County, Washington",Washington,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Fire District No. 2 Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,"Fire District No. 2 provision of government services will use the funds for Phase 1 of a new fire station, which may be used for the prevention, treatment, and/or mitigation of COVID-19. This includes a 60ft x 45ft structure with 3 bays to house 6 emergency vehicles, fire trucks and/or ambulance, as well as provide emergency care and services.","$963,615","$963,615"
TPN-248172,RCP-036002,"Yakima County, Washington",Washington,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,Highland Food Bank Building,2-Negative Economic Impacts,2.1-Household Assistance: Food Programs,"Build a new facility for the Highland Food Bank in Tieton, WA.  The building is a galvanized metal and pole structure that will be 30\u2019 X 72\u2019, which is 2160 square feet.","$400,000","$322,874"
TPN-114581,RCP-036762,"Mercer County, West Virginia",West Virginia,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Athens Volunteer Fire Department-Purchase Property for New Fire Department,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,"The Athens Volunteer Fire Department requested ARP funding to purchase property for the construction of a new fire station, community center, and emergency shelter in the Town of Athens.   This facility would allow the citizens of Athens and surrounding communities including Lerona, Speedway, Pettry, Elgood, Pipestem, Gardner, and Island Creek to have an emergency shelter closer to home without having to travel to the nearest shelter, which is in Princeton, West Virginia.  The Athens VFD has been operating out of the same building since 1967.  The current available space does not meet current or future needs.","$150,000","$150,000"
TPN-139296,RCP-034533,"Town Of Marshall, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,"Last reporting period (April 1, 2022 - March 31, 2023) expenditures were used to demo our old town hall. This period the remaining expenditures were used to construction a new town hall building. This building will be used for meetings and elections.","$57,463","$57,463"
TPN-231513,RCP-033533,"Town Of Scott, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Scott Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new town hall,"$98,074","$98,074"
TPN-162534,RCP-034170,"Town Of Hull, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Town Hall Building,6-Revenue Replacement,6.1-Provision of Government Services,"The Town of Hull used revenue replacement funding in the amount $83,002.16 for the new town hall building.","$83,002","$83,002"
TPN-209824,RCP-033651,"Town Of Westford, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,A new town hall will be constructed on the site of the current town hall.  The current structure does not have a sewer or running water.  A wall mounted heater is used to heat the building.  The foundation is crumbling and the building no longer meets the needs of the community.  All town hall meetings and elections are held in this building where there are no bathroom facilities which makes attracting poll workers difficult.  The building is over 100 years old and needs to be replaced.,"$125,812","$125,812"
TPN-121231,RCP-038511,"Kewaunee County, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,County Jail Project,6-Revenue Replacement,6.1-Provision of Government Services,New Jail project,"$1,239,864","$1,239,864"
TPN-270049,RCP-034444,"Town Of Milltown, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,"New Town Hall and Garage Addition.  Advertising and bids were received for building a new town hall which will be used for the clerk and town meetings, and an addition to the town shop for equipment storage.  The Town Hall was built from the ground up and an addition to the existing town shop for storage of Town of Milltown equipment.","$128,952","$128,952"
TPN-284787,RCP-034919,"Village Of Germantown, WI",Wisconsin,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,PD Building Design,6-Revenue Replacement,6.1-Provision of Government Services,The Village allocated funds to begin preliminary design for the construction of a new public safety building.,"$64,690","$50,584"
